Site,Part Number,Revenue_GBP,Units,Customer_Count,Internal_Revenue_GBP,External_Revenue_GBP,Internal_Units,External_Units,Internal_Customer_Count,External_Customer_Count,Onhand_Qty,Cost_Allocated_USD,Revenue_USD,Margin_USD
G580,ABBNZ01A1D5,10929326.26,546.0,1,0.0,10929326.26,0.0,546.0,0,1,0.0,119624.96,,
G580,ABBNZ01A3E2,2137571.74,88.0,1,2137571.74,0.0,88.0,0.0,1,0,0.0,0.0,,
G580,ABBNZ01GT10,13088542.58,198.0,2,13088542.58,0.0,198.0,0.0,2,0,0.0,5270.17,,
G580,ABBNZ02A1D5,14253660.65,924.0,1,0.0,14253660.65,0.0,924.0,0,1,0.0,89272.93,,
G580,ABBNZ02A3E2,2271320.45,128.0,1,2271320.45,0.0,128.0,0.0,1,0,0.0,0.0,,
G580,ABBNZ02GT10,14484270.16,312.0,2,14484270.16,0.0,312.0,0.0,2,0,0.0,0.0,,
G580,ABBNZ03A1D5,5100570.19,336.0,1,0.0,5100570.19,0.0,336.0,0,1,0.0,21647.34,,
G580,ABBNZ03A3E2,1111334.8,128.0,1,1111334.8,0.0,128.0,0.0,1,0,0.0,0.0,,
G580,ABBNZ04A1D5,5680604.46,210.0,1,0.0,5680604.46,0.0,210.0,0,1,0.0,37115.25,,
G580,ABBNZ04A3E2,1193163.72,40.0,1,1193163.72,0.0,40.0,0.0,1,0,0.0,0.0,,
G580,ABBNZ05A1D5,861639.42,40.0,1,0.0,861639.42,0.0,40.0,0,1,0.0,0.0,,
G580,ABBRH01A3E2,624801.46,134.0,1,624801.46,0.0,134.0,0.0,1,0,0.0,0.0,,
G580,ABBRS01A3E2,419104.81,80.0,1,419104.81,0.0,80.0,0.0,1,0,0.0,0.0,,
G580,ABBRS02A3E2,591905.53,48.0,1,591905.53,0.0,48.0,0.0,1,0,0.0,0.0,,
G580,ABBRS03A3E2,366915.25,48.0,1,366915.25,0.0,48.0,0.0,1,0,0.0,0.0,,
G580,ADDITIONAL,78990079.73,386.0,38,43276464.52,35713615.21,212.0,174.0,14,24,0.0,184417.27,,
G580,APMBH007EAAGR,692592.52,70.0,1,692592.52,0.0,70.0,0.0,1,0,0.0,0.0,,
G580,APMBH00FR6AGR,1011642.53,120.0,5,593434.27,418208.26,70.0,50.0,3,2,0.0,3121.7,,
G580,APMBH00FR9AGR,336234.79,42.0,1,336234.79,0.0,42.0,0.0,1,0,0.0,2083.23,,
G580,APMBL017EAAG,31325177.06,5357.0,2,31325177.06,0.0,5357.0,0.0,2,0,0.0,0.0,,
G580,APMBL017EAAGR,16681586.99,1563.0,2,16681586.99,0.0,1563.0,0.0,2,0,0.0,151623.98,,
G580,APMBL01AGT10R,2181123.85,180.0,1,2181123.85,0.0,180.0,0.0,1,0,0.0,2143.48,,
G580,APMBL01FR6AG,13650627.46,2437.0,2,13650627.46,0.0,2437.0,0.0,2,0,0.0,0.0,,
G580,APMBL01FR6AGR,37792548.78,2945.0,4,11043826.03,26748722.75,921.0,2024.0,2,2,0.0,1376004.78,,
G580,APMBL01FR9AGR,19902753.56,1563.0,11,7071043.92,12831709.64,827.0,736.0,6,5,0.0,230353.73,,
G580,APMBL01FR9EAG,10315463.26,912.0,2,10315463.26,0.0,912.0,0.0,2,0,0.0,0.0,,
G580,APMBL01TG20,856299.99,79.0,1,856299.99,0.0,79.0,0.0,1,0,0.0,0.0,,
G580,APMBL01W501D4,3679384.59,285.0,1,3679384.59,0.0,285.0,0.0,1,0,0.0,0.0,,
G580,APMBL027EAAG,22588532.23,3811.0,1,22588532.23,0.0,3811.0,0.0,1,0,0.0,12.99,,
G580,APMBL027EAAGR,9018522.23,920.0,2,9018522.23,0.0,920.0,0.0,2,0,0.0,100491.97,,
G580,APMBL02FR6AG,5653317.61,2128.0,2,5653317.61,0.0,2128.0,0.0,2,0,0.0,0.0,,
G580,APMBL02FR6AGR,42946565.38,3404.0,6,9186133.56,33760431.82,1012.0,2392.0,3,3,0.0,1467502.94,,
G580,APMBL02FR9AGR,14265512.34,824.0,6,5981226.36,8284285.98,456.0,368.0,3,3,0.0,175741.14,,
G580,APMBL02TG20,1271116.05,140.0,1,1271116.05,0.0,140.0,0.0,1,0,0.0,0.0,,
G580,APMBL02W501B6,419582.89,91.0,1,419582.89,0.0,91.0,0.0,1,0,0.0,0.0,,
G580,APMBL03FR6AG,2718818.0,2182.0,2,2718818.0,0.0,2182.0,0.0,2,0,0.0,0.0,,
G580,APMBL03FR6AGR,9453405.22,1104.0,3,796039.83,8657365.39,184.0,920.0,2,1,0.0,614734.5,,
G580,APMBL03FR9AGR,8641709.22,828.0,5,3905426.03,4736283.19,460.0,368.0,3,2,0.0,50821.13,,
G580,APMCL007EAAGR,2284505.1,40.0,1,2284505.1,0.0,40.0,0.0,1,0,0.0,0.0,,
G580,APMCL00FR5AG,230210.34,10.0,1,230210.34,0.0,10.0,0.0,1,0,0.0,0.0,,
G580,APMCL00FR6AGR,1778936.11,70.0,2,0.0,1778936.11,0.0,70.0,0,2,0.0,0.0,,
G580,APMCL00FR9AGR,3171971.39,42.0,1,3171971.39,0.0,42.0,0.0,1,0,0.0,21499.98,,
G580,APMCT00FR5AG,27448.72,10.0,1,27448.72,0.0,10.0,0.0,1,0,0.0,0.0,,
G580,APMCT00FR6AGR,165407.71,60.0,2,165407.71,0.0,60.0,0.0,2,0,0.0,2161.18,,
G580,APMFN00FR5AG,46083.92,10.0,1,46083.92,0.0,10.0,0.0,1,0,0.0,0.0,,
G580,APMFS00FR6AGR,738050.3,30.0,2,738050.3,0.0,30.0,0.0,2,0,0.0,0.0,,
G580,APMFS00FR9AGR,2810832.72,56.0,2,2810832.72,0.0,56.0,0.0,2,0,0.0,18132.89,,
G580,APMNZ017EAAG,76623689.39,861.0,1,76623689.39,0.0,861.0,0.0,1,0,0.0,0.0,,
G580,APMNZ017EAAGR,30689491.71,378.0,2,30689491.71,0.0,378.0,0.0,2,0,0.0,240910.07,,
G580,APMNZ01AGT10R,11133297.46,54.0,1,11133297.46,0.0,54.0,0.0,1,0,0.0,55883.07,,
G580,APMNZ01FR6AG,3923748.05,165.0,2,3923748.05,0.0,165.0,0.0,2,0,0.0,0.0,,
G580,APMNZ01FR6AGR,37377300.54,522.0,4,7423112.57,29954187.97,126.0,396.0,2,2,0.0,1740685.86,,
G580,APMNZ01FR9AGR,9231027.6,162.0,3,4454111.2,4776916.4,108.0,54.0,2,1,0.0,79913.66,,
G580,APMNZ01TG20,2265677.99,77.0,1,2265677.99,0.0,77.0,0.0,1,0,0.0,0.0,,
G580,APMNZ027EAAG,44710977.67,1054.0,2,44710977.67,0.0,1054.0,0.0,2,0,0.0,0.0,,
G580,APMNZ027EAAGR,13517588.71,160.0,2,13517588.71,0.0,160.0,0.0,2,0,0.0,70633.71,,
G580,APMNZ02AGT10R,2379846.21,52.0,1,2379846.21,0.0,52.0,0.0,1,0,0.0,0.0,,
G580,APMNZ02FR6AG,11273906.56,168.0,3,11273906.56,0.0,168.0,0.0,3,0,0.0,136.71,,
G580,APMNZ02FR6AGR,32992697.95,336.0,4,11879221.59,21113476.36,128.0,208.0,2,2,0.0,2975748.9,,
G580,APMNZ02FR9AGR,9072461.77,78.0,3,485659.19,8586802.58,46.0,32.0,1,2,0.0,120984.06,,
G580,APMNZ02TG20,452112.15,26.0,1,452112.15,0.0,26.0,0.0,1,0,0.0,0.0,,
G580,APMNZ02W501D4,1303788.39,32.0,1,1303788.39,0.0,32.0,0.0,1,0,0.0,0.0,,
G580,APMNZ037EAAGR,3492807.01,80.0,2,3492807.01,0.0,80.0,0.0,2,0,0.0,0.0,,
G580,APMNZ03FR6AG,578126.59,64.0,3,578126.59,0.0,64.0,0.0,3,0,0.0,364.29,,
G580,APMNZ03FR6AGR,12962240.46,256.0,3,4737582.4,8224658.06,96.0,160.0,2,1,0.0,1214469.67,,
G580,APMNZ03FR9AGR,4107499.39,64.0,3,1708056.67,2399442.72,32.0,32.0,2,1,0.0,106246.74,,
G580,APMNZ03FR9EAG,302754.56,16.0,1,302754.56,0.0,16.0,0.0,1,0,0.0,0.0,,
G580,APMRS02W501B6,347641.6,48.0,1,347641.6,0.0,48.0,0.0,1,0,0.0,3460.12,,
G580,APMSB017EAAG,3540764.06,192.0,1,3540764.06,0.0,192.0,0.0,1,0,0.0,0.0,,
G580,APMSB017EAAGR,5842290.88,336.0,1,5842290.88,0.0,336.0,0.0,1,0,0.0,31399.11,,
G580,APMSB01FR6AG,1244609.65,144.0,1,1244609.65,0.0,144.0,0.0,1,0,0.0,0.0,,
G580,APMSB01FR6AGR,10031497.43,613.0,6,3288296.12,6743201.31,216.0,397.0,4,2,0.0,21982.43,,
G580,APMSB01FR9AGR,885602.06,96.0,2,885602.06,0.0,96.0,0.0,2,0,0.0,1007.84,,
G580,APMSB027EAAGR,3739957.52,288.0,2,3739957.52,0.0,288.0,0.0,2,0,0.0,27899.57,,
G580,APMSB02FR6AG,533501.11,108.0,1,533501.11,0.0,108.0,0.0,1,0,0.0,0.0,,
G580,APMSB02FR6AGR,6794994.35,684.0,3,2710195.5,4084798.85,216.0,468.0,2,1,0.0,258122.67,,
G580,APMSB037EAAGR,1671227.26,96.0,1,1671227.26,0.0,96.0,0.0,1,0,0.0,0.0,,
G580,APMSB03FR6AGR,2435373.42,150.0,2,457173.97,1978199.45,30.0,120.0,1,1,0.0,0.0,,
G580,APMTP007EAAGR,1969439.62,22.0,2,1969439.62,0.0,22.0,0.0,2,0,0.0,0.0,,
G580,APMTP00FR6AGR,23006503.64,230.0,5,3879912.32,19126591.32,60.0,170.0,2,3,0.0,41330.57,,
G580,APMTP00FR9AGR,6957004.74,42.0,1,6957004.74,0.0,42.0,0.0,1,0,0.0,43321.59,,
G580,FREIGHT CHARGE,84853913.52,640.0,49,44319740.8,40534172.72,471.0,169.0,18,31,0.0,211613.35,,
G580,GEBH00M61B,7088236.96,751.0,12,3977486.55,3110750.41,440.0,311.0,6,6,0.0,328866.24,,
G580,GEBH00M6FA,0.0,12.0,1,0.0,0.0,12.0,0.0,1,0,0.0,0.0,,
G580,GEBH00M7EA,2816818.85,335.0,1,2816818.85,0.0,335.0,0.0,1,0,0.0,16735.65,,
G580,GEBH00M91B,247645.4,98.0,1,247645.4,0.0,98.0,0.0,1,0,0.0,0.0,,
G580,GEBH00M91E,3599376.92,350.0,4,2270930.05,1328446.87,238.0,112.0,2,2,0.0,12926.19,,
G580,GEBH00MS7FA,671893.68,70.0,1,671893.68,0.0,70.0,0.0,1,0,0.0,0.0,,
G580,GEBL01M301,676509.07,160.0,1,676509.07,0.0,160.0,0.0,1,0,0.0,0.0,,
G580,GEBL01M302J,71646.51,80.0,1,71646.51,0.0,80.0,0.0,1,0,0.0,2895.2,,
G580,GEBL01M501,7063155.31,1201.0,2,7063155.31,0.0,1201.0,0.0,2,0,0.0,90122.01,,
G580,GEBL01M502D,1864611.73,240.0,1,1864611.73,0.0,240.0,0.0,1,0,0.0,21573.75,,
G580,GEBL01M51P,6411898.1,960.0,5,6296962.75,114935.35,840.0,120.0,4,1,0.0,68742.77,,
G580,GEBL01M61B,89566540.7,10088.0,22,63974329.94,25592210.76,7419.0,2669.0,10,12,0.0,456406.63,,
G580,GEBL01M6FA,9911255.4,276.0,2,3091852.72,6819402.68,184.0,92.0,1,1,0.0,92008.89,,
G580,GEBL01M7EA,23566687.36,2715.0,2,23566687.36,0.0,2715.0,0.0,2,0,0.0,43453.39,,
G580,GEBL01M7FAE,34413403.35,2023.0,2,31094242.03,3319161.32,1655.0,368.0,1,1,0.0,626381.77,,
G580,GEBL01M91B,5231854.44,738.0,1,5231854.44,0.0,738.0,0.0,1,0,0.0,32778.49,,
G580,GEBL01M91E,94172894.73,8436.0,18,45148775.68,49024119.05,4268.0,4168.0,9,9,0.0,319347.38,,
G580,GEBL01MS7FA,4232867.37,184.0,1,4232867.37,0.0,184.0,0.0,1,0,0.0,0.0,,
G580,GEBL02M302,901878.97,80.0,1,901878.97,0.0,80.0,0.0,1,0,0.0,0.0,,
G580,GEBL02M302J,375013.04,162.0,2,375013.04,0.0,162.0,0.0,2,0,0.0,50637.43,,
G580,GEBL02M501,971873.1,90.0,1,971873.1,0.0,90.0,0.0,1,0,0.0,0.0,,
G580,GEBL02M51P,2995668.89,366.0,3,2995668.89,0.0,366.0,0.0,3,0,0.0,49359.93,,
G580,GEBL02M61B,66899110.6,7611.0,15,43334545.47,23564565.13,5035.0,2576.0,4,11,0.0,1546995.02,,
G580,GEBL02M6FA,5010684.03,276.0,2,2130145.71,2880538.32,184.0,92.0,1,1,0.0,51754.65,,
G580,GEBL02M7EA,27395813.45,3422.0,2,27395813.45,0.0,3422.0,0.0,2,0,0.0,72381.93,,
G580,GEBL02M7FAE,19906071.34,1768.0,2,18010289.93,1895781.41,1584.0,184.0,1,1,0.0,194105.6,,
G580,GEBL02M91B,11070695.95,933.0,1,11070695.95,0.0,933.0,0.0,1,0,0.0,66302.83,,
G580,GEBL02M91E,114541163.15,8202.0,17,54552906.68,59988256.47,3858.0,4344.0,7,10,0.0,374785.45,,
G580,GEBL02MS7FA,250240.32,92.0,1,250240.32,0.0,92.0,0.0,1,0,0.0,0.0,,
G580,GEBL03M61B,48192754.14,7693.0,13,33197662.72,14995091.42,5932.0,1761.0,5,8,0.0,1271313.91,,
G580,GEBL03M6FA,3367229.25,276.0,2,1348460.49,2018768.76,184.0,92.0,1,1,0.0,34012.6,,
G580,GEBL03M7EA,25603834.89,3220.0,2,25603834.89,0.0,3220.0,0.0,2,0,0.0,143585.9,,
G580,GEBL03M7FAE,3846131.55,832.0,2,3633300.33,212831.22,740.0,92.0,1,1,0.0,17295.85,,
G580,GEBL03M91B,9412619.09,737.0,1,9412619.09,0.0,737.0,0.0,1,0,0.0,59298.97,,
G580,GEBL03M91E,76849275.84,6258.0,13,44179155.84,32670120.0,3117.0,3141.0,6,7,0.0,214658.77,,
G580,GEBL03MS7FA,2483995.42,184.0,1,2483995.42,0.0,184.0,0.0,1,0,0.0,0.0,,
G580,GECL00M302,1797209.41,24.0,1,1797209.41,0.0,24.0,0.0,1,0,0.0,0.0,,
G580,GECL00M302J,343757.28,6.0,1,343757.28,0.0,6.0,0.0,1,0,0.0,0.0,,
G580,GECL00M501,2711794.85,49.0,2,2711794.85,0.0,49.0,0.0,2,0,0.0,2795.84,,
G580,GECL00M51P,7560745.43,160.0,6,6223754.82,1336990.61,120.0,40.0,5,1,0.0,23220.44,,
G580,GECL00M61B,34590385.29,785.0,11,23234465.06,11355920.23,474.0,311.0,3,8,0.0,640591.17,,
G580,GECL00M6FA,5720543.6,24.0,2,5720543.6,0.0,24.0,0.0,2,0,0.0,49857.52,,
G580,GECL00M7B,867525.02,10.0,1,867525.02,0.0,10.0,0.0,1,0,0.0,0.0,,
G580,GECL00M7EA,19886185.95,274.0,1,19886185.95,0.0,274.0,0.0,1,0,0.0,99808.24,,
G580,GECL00M7FA,2899447.96,100.0,1,2899447.96,0.0,100.0,0.0,1,0,0.0,28006.85,,
G580,GECL00M91B,9143925.35,212.0,2,9143925.35,0.0,212.0,0.0,2,0,0.0,77191.43,,
G580,GECL00M91E,24480389.82,547.0,8,19340047.51,5140342.31,367.0,180.0,6,2,0.0,88652.67,,
G580,GECL00MS7FA,9477042.52,113.0,1,9477042.52,0.0,113.0,0.0,1,0,0.0,0.0,,
G580,GECL01M502D,2339292.84,48.0,1,2339292.84,0.0,48.0,0.0,1,0,0.0,34065.57,,
G580,GECL01M51P,440294.2,10.0,1,440294.2,0.0,10.0,0.0,1,0,0.0,0.0,,
G580,GECL01M61B,63342859.25,752.0,13,53706466.61,9636392.64,639.0,113.0,6,7,0.0,450805.07,,
G580,GECL01M7FAE,11006130.42,140.0,2,7150085.38,3856045.04,112.0,28.0,1,1,0.0,0.0,,
G580,GECL02M7EA,38967634.27,422.0,2,38967634.27,0.0,422.0,0.0,2,0,0.0,36075.68,,
G580,GECLDLM91E,47284736.96,571.0,7,20390737.36,26893999.6,295.0,276.0,4,3,0.0,211449.99,,
G580,GECP01M302J,501972.24,80.0,1,501972.24,0.0,80.0,0.0,1,0,0.0,78243.24,,
G580,GECP02M302J,335566.97,80.0,1,335566.97,0.0,80.0,0.0,1,0,0.0,52305.38,,
G580,GECR00M302J,20519.07,8.0,1,20519.07,0.0,8.0,0.0,1,0,0.0,0.0,,
G580,GECR00M51P,95517.28,100.0,2,33842.32,61674.96,40.0,60.0,1,1,0.0,0.0,,
G580,GECR00M61B,821321.7,560.0,8,346960.48,474361.22,160.0,400.0,4,4,0.0,112022.89,,
G580,GECR00M7EA,1251986.12,480.0,2,1251986.12,0.0,480.0,0.0,2,0,0.0,0.0,,
G580,GECR00M91B,166302.94,140.0,1,166302.94,0.0,140.0,0.0,1,0,0.0,1816.49,,
G580,GECR00M91E,729079.47,391.0,4,476108.11,252971.36,195.0,196.0,2,2,0.0,1536.68,,
G580,GECS01M7EA,15199.32,6.0,1,15199.32,0.0,6.0,0.0,1,0,0.0,0.0,,
G580,GECS02M7EA,15199.32,6.0,1,15199.32,0.0,6.0,0.0,1,0,0.0,0.0,,
G580,GECS17M7EA,15199.32,6.0,1,15199.32,0.0,6.0,0.0,1,0,0.0,0.0,,
G580,GECT00M302J,32037.22,4.0,1,32037.22,0.0,4.0,0.0,1,0,0.0,0.0,,
G580,GECT00M502D,227672.66,96.0,1,227672.66,0.0,96.0,0.0,1,0,0.0,3427.02,,
G580,GECT00M51P,240666.03,80.0,3,146230.96,94435.07,40.0,40.0,2,1,0.0,0.0,,
G580,GECT00M61B,2918181.19,1067.0,11,855202.46,2062978.73,320.0,747.0,5,6,0.0,354953.04,,
G580,GECT00M6FA,422274.94,24.0,1,422274.94,0.0,24.0,0.0,1,0,0.0,6604.53,,
G580,GECT00M7EA,2196971.98,462.0,2,2196971.98,0.0,462.0,0.0,2,0,0.0,4864.77,,
G580,GECT00M91B,294510.74,70.0,1,294510.74,0.0,70.0,0.0,1,0,0.0,3758.26,,
G580,GECT00M91E,3144751.76,686.0,4,2302297.88,842453.88,476.0,210.0,2,2,0.0,4144.16,,
G580,GEFN00M501,11310.94,10.0,1,11310.94,0.0,10.0,0.0,1,0,0.0,0.0,,
G580,GEFN00M501P,4915482.06,122.0,5,4378713.12,536768.94,92.0,30.0,4,1,0.0,65452.28,,
G580,GEFN00M61B,41531078.44,970.0,14,2212388.33,39318690.11,150.0,820.0,4,10,0.0,2412826.4,,
G580,GEFN00M91B,7835593.01,136.0,2,7835593.01,0.0,136.0,0.0,2,0,0.0,112433.02,,
G580,GEFN00M91E,14830206.62,168.0,5,4586169.41,10244037.21,98.0,70.0,3,2,0.0,62533.47,,
G580,GEFN01M91E,16417773.69,28.0,1,0.0,16417773.69,0.0,28.0,0,1,0.0,268128.96,,
G580,GEFN02M91E,2664640.24,28.0,1,0.0,2664640.24,0.0,28.0,0,1,0.0,42789.83,,
G580,GEFS00M61B,7254420.2,360.0,6,3565079.51,3689340.69,210.0,150.0,3,3,0.0,724171.33,,
G580,GEFS00M6FA,294196.66,12.0,1,294196.66,0.0,12.0,0.0,1,0,0.0,4601.34,,
G580,GEFS00M7EA,10153835.07,320.0,2,10153835.07,0.0,320.0,0.0,2,0,0.0,33767.64,,
G580,GEFS00M7FAE,3363563.82,90.0,1,3363563.82,0.0,90.0,0.0,1,0,0.0,0.0,,
G580,GEFS00M91E,4862179.58,141.0,4,4495665.96,366513.62,127.0,14.0,3,1,0.0,11374.34,,
G580,GEFS00MS7FA,1594726.42,70.0,1,1594726.42,0.0,70.0,0.0,1,0,0.0,0.0,,
G580,GEFS01M7EA,4153384.39,120.0,2,4153384.39,0.0,120.0,0.0,2,0,0.0,15421.33,,
G580,GEFSDLM91E,3578638.78,154.0,2,1561229.74,2017409.04,112.0,42.0,1,1,0.0,0.0,,
G580,GEIB00M61B,670852.16,1.0,1,670852.16,0.0,1.0,0.0,1,0,0.0,0.0,,
G580,GELC00M6FA,2091461.43,24.0,2,2091461.43,0.0,24.0,0.0,2,0,0.0,10361.44,,
G580,GELC00MS7FA,5036436.32,88.0,1,5036436.32,0.0,88.0,0.0,1,0,0.0,0.0,,
G580,GELC01M7FAE,7465651.66,70.0,2,6563926.47,901725.19,56.0,14.0,1,1,0.0,0.0,,
G580,GENA01M51P,9770883.3,312.0,5,9000104.41,770778.89,288.0,24.0,4,1,0.0,22804.88,,
G580,GENA01M61B,125334923.82,2196.0,17,87573827.67,37761096.15,1512.0,684.0,7,10,0.0,4704686.37,,
G580,GENA01M91E,108842563.24,1008.0,14,76706681.12,32135882.12,612.0,396.0,6,8,0.0,570613.58,,
G580,GENA02M51P,7537961.95,140.0,4,6711200.67,826761.28,126.0,14.0,3,1,0.0,20360.34,,
G580,GENZ01M301,821328.42,24.0,1,821328.42,0.0,24.0,0.0,1,0,0.0,0.0,,
G580,GENZ01M302,433458.0,12.0,1,433458.0,0.0,12.0,0.0,1,0,0.0,15494.12,,
G580,GENZ01M302J,1931329.59,48.0,1,1931329.59,0.0,48.0,0.0,1,0,0.0,0.0,,
G580,GENZ01M501,10003361.21,110.0,6,9397997.21,605364.0,100.0,10.0,5,1,0.0,96846.81,,
G580,GENZ01M502D,3139959.66,54.0,1,3139959.66,0.0,54.0,0.0,1,0,0.0,29242.35,,
G580,GENZ01M61B,2603146.36,36.0,1,2603146.36,0.0,36.0,0.0,1,0,0.0,0.0,,
G580,GENZ01M6FA,8063934.64,48.0,2,3241091.94,4822842.7,24.0,24.0,1,1,0.0,30871.17,,
G580,GENZ01M7EA,49936180.68,702.0,3,49936180.68,0.0,702.0,0.0,3,0,0.0,26599.92,,
G580,GENZ01M7FAE,22890892.83,336.0,2,16213491.62,6677401.21,312.0,24.0,1,1,0.0,445763.13,,
G580,GENZ01M91B,13230470.94,132.0,1,13230470.94,0.0,132.0,0.0,1,0,0.0,52256.45,,
G580,GENZ01MS7FA,18011649.56,120.0,2,8331657.35,9679992.21,72.0,48.0,1,1,0.0,151897.08,,
G580,GENZ02M302J,1316186.75,96.0,1,1316186.75,0.0,96.0,0.0,1,0,0.0,0.0,,
G580,GENZ02M501,11404767.9,22.0,4,11404767.9,0.0,22.0,0.0,4,0,1.0,112430.99,,
G580,GENZ02M61B,114023253.11,1632.0,16,66470410.73,47552842.38,1040.0,592.0,6,10,0.0,3461733.76,,
G580,GENZ02M6FA,7441118.42,72.0,2,3392887.72,4048230.7,48.0,24.0,1,1,0.0,78978.82,,
G580,GENZ02M7EA,51847788.81,608.0,3,51847788.81,0.0,608.0,0.0,3,0,0.0,181952.28,,
G580,GENZ02M7FAE,13988231.81,312.0,2,10187406.4,3800825.41,288.0,24.0,1,1,0.0,23374.12,,
G580,GENZ02M91B,4703684.76,88.0,1,4703684.76,0.0,88.0,0.0,1,0,0.0,61049.53,,
G580,GENZ02M91E,160437761.44,1231.0,14,87914830.77,72522930.67,687.0,544.0,7,7,0.0,693023.3,,
G580,GENZ02MS7FA,11723873.38,96.0,2,7254599.45,4469273.93,72.0,24.0,1,1,0.0,67396.98,,
G580,GENZ03M61B,41019160.14,1232.0,15,29915255.81,11103904.33,992.0,240.0,6,9,0.0,267595.47,,
G580,GENZ03M6FA,4893872.22,60.0,2,2398419.12,2495453.1,40.0,20.0,1,1,0.0,53485.6,,
G580,GENZ03M7EA,27540277.1,622.0,2,27540277.1,0.0,622.0,0.0,2,0,0.0,166453.06,,
G580,GENZ03M7FAE,8495267.11,180.0,1,8495267.11,0.0,180.0,0.0,1,0,0.0,290793.95,,
G580,GENZ03M91B,2644830.84,88.0,1,2644830.84,0.0,88.0,0.0,1,0,0.0,26122.41,,
G580,GENZ03M91E,47468777.14,963.0,12,26557588.29,20911188.85,531.0,432.0,7,5,0.0,180584.73,,
G580,GENZ03MS7FA,2634301.16,40.0,1,2634301.16,0.0,40.0,0.0,1,0,0.0,0.0,,
G580,GERC00M302J,15189.89,16.0,1,15189.89,0.0,16.0,0.0,1,0,0.0,0.0,,
G580,GERC01M302J,15189.84,32.0,1,15189.84,0.0,32.0,0.0,1,0,0.0,0.0,,
G580,GESB01M302J,1046286.46,90.0,1,1046286.46,0.0,90.0,0.0,1,0,0.0,0.0,,
G580,GESB01M501,29125.02,36.0,1,29125.02,0.0,36.0,0.0,1,0,0.0,123.09,,
G580,GESB01M51P,1434834.65,144.0,2,1434834.65,0.0,144.0,0.0,2,0,0.0,11105.33,,
G580,GESB01M61B,34547872.21,2591.0,13,24802919.69,9744952.52,1979.0,612.0,6,7,0.0,1312842.12,,
G580,GESB01M6FA,4573693.85,72.0,2,1948409.37,2625284.48,48.0,24.0,1,1,0.0,47278.34,,
G580,GESB01M7EA,26508082.74,2268.0,2,26508082.74,0.0,2268.0,0.0,2,0,0.0,70289.33,,
